Qbf.m3s,D50.mm,Hbf.m,S,Bbf.m
37.15170273,16.8,0.94488,0.0007,20.90928
37.09506904,1.35,1.92024,0.00051,18.04416
36.81190057,0.5,2.37744,0.001,9.7536
36.5,89,1.06,0.0137,13.7
34.54655284,4.16,1.389888,0.0005,33.31464
33.98021591,32.5,1.018032,0.0087,27.2796
33.98021591,50,1.060704,0.0068,27.29484
33.98021591,50,0.978408,0.0068,26.615136
32.76259151,3,1.207008,0.000357,23.1648
29.59110469,1.41,1.185672,0.0021,15.8496
29.5,41,1.34,0.0045,13.73
29.4,54,1.4,0.002,23.4
28.99645091,0.71,1.536192,0.0005,15.17904
28.31684659,123,0.728472,0.0022,25.523952
27.94,0.062,2.38,0.00033,25.67
25.68337986,1.13,1.496568,0.0017,12.45108
25.48516193,108,0.768096,0.0043,21.500592
25,63,0.78,0.0052,25.12
24.918825,117.5,0.935736,0.0158,12.874752
24.918825,167.5,0.801624,0.0113,13.47216
24.17126025,0.8,0.762,0.002,23.59152
24.0693196,0.27,1.9812,0.0013,10.9728
22.65,0.25,1.57,0.0024,13.7
21.94555611,11.13,1.072896,0.0029,12.8016
20.7845654,16.2,0.762,0.001,23.59152
19.5103073,15.62,1.225296,0.0017,15.91056
18.7174356,10.4,0.97536,0.0017,19.05
17.83961335,15.17,1.368552,0.0019,13.92936
17.38427846,10.31,0.576072,0.0059,15.578328
16.70693949,18.66,0.981456,0.0051,10.5156
16.56535526,0.21,1.18872,0.0015,10.668
16.14060256,70,0.694944,0.0074,11.59764
15.34773085,17.73,0.813816,0.0021,19.17192
15.29109716,13.21,0.981456,0.0014,11.2776
15.29,0.25,0.57,0.0034,22.3
14.2,57,0.69,0.0032,16.73
13.16450198,13.11,0.954024,0.0014,11.82624
13,0.42,1.17,0.003,12
12.43109565,1.32,1.61544,0.00023,14.44752
12,0.5,0.93,0.0064,17.1
11.9,52,0.579,0.011,18
11.27010494,0.65,1.6764,0.00021,10.08888
10.7,113,0.73,0.013,9.84
10.61881747,0.61,2.22504,0.0002,11.70432
10,106,0.73,0.0064,14.04
9.96753,1.99,1.43256,0.00078,11.70432
9.429509915,7.33,0.682752,0.001,17.49552
8.80653929,0.55,1.3716,0.00017,14.1732
7.928717046,11.69,0.719328,0.0021,11.18616
7.192479034,0.81,0.94488,0.00056,11.03376
7.079211648,7.03,0.886968,0.0018,8.90016
7.079211648,105,0.512064,0.00158,8.430768
7.022577955,0.59,1.46304,0.0008,6.096
6.275013205,0.67,0.932688,0.0003,11.09472
6.22970625,107.5,0.47244,0.0104,8.644128
6.221211196,13.86,0.36576,0.012,10.54608
5.861587245,96,0.56388,0.0186,7.65048
5.776636705,24,0.466344,0.007,7.7724
5.720003012,12.41,0.856488,0.0059,6.64464
5.408517699,21,0.67056,0.014,9.144
5.281091889,15.7,0.57912,0.0132,8.56488
5.179151242,21.69,0.51816,0.011,9.05256
4.598655887,4,0.496824,0.0061,5.824728
4.247526989,109.5,0.347472,0.0213,8.805672
3.936041676,8.4,0.911352,0.0003,13.99032
3.398021591,11.03,0.57912,0.0087,7.74192
3.398021591,100,0.524256,0.031,11.131296
3.398021591,115,0.249936,0.0195,5.571744
3.250773989,10.69,0.44196,0.012,4.026408
3.242278935,9.47,0.505968,0.016,5.76072
2.831684659,1,0.697992,0.0004,10.2108
2.775050966,14.2,0.4572,0.0067,5.7912
2.752397489,15.5,0.4572,0.052,2.7432
2.7,33,0.65,0.0023,5.24
2.433549796,0.64,0.54864,0.0023,5.358384
1.868911875,16.99,0.432816,0.0123,4.38912
1.812278182,10.6,0.512064,0.0025,4.7244
1.529109716,13.43,0.344424,0.0091,6.5532
1.509287923,24,0.27432,0.0369,2.4384
1.472476023,15.17,0.387096,0.0078,4.51104
1.444159176,22.6,0.36576,0.033,4.572
1.019406477,9.78,0.329184,0.0067,4.572
0.396435852,6,0.36576,0.05,2.46888
0.337253643,6.93,0.219456,0.01,2.25552
